"ID" "Group" "Time" "weight"
"1" "1" "1" 1 240
"2" "2" "1" 1 225
"3" "3" "1" 1 245
"4" "4" "1" 1 260
"5" "5" "1" 1 255
"6" "6" "1" 1 260
"7" "7" "1" 1 275
"8" "8" "1" 1 245
"9" "9" "2" 1 410
"10" "10" "2" 1 405
"11" "11" "2" 1 445
"12" "12" "2" 1 555
"13" "13" "3" 1 470
"14" "14" "3" 1 535
"15" "15" "3" 1 520
"16" "16" "3" 1 510
"17" "1" "1" 8 250
"18" "2" "1" 8 230
"19" "3" "1" 8 250
"20" "4" "1" 8 255
"21" "5" "1" 8 260
"22" "6" "1" 8 265
"23" "7" "1" 8 275
"24" "8" "1" 8 255
"25" "9" "2" 8 415
"26" "10" "2" 8 420
"27" "11" "2" 8 445
"28" "12" "2" 8 560
"29" "13" "3" 8 465
"30" "14" "3" 8 525
"31" "15" "3" 8 525
"32" "16" "3" 8 510
"33" "1" "1" 1 255
"34" "2" "1" 1 230
"35" "3" "1" 1 250
"36" "4" "1" 1 255
"37" "5" "1" 1 255
"38" "6" "1" 1 270
"39" "7" "1" 1 260
"40" "8" "1" 1 260
"41" "9" "2" 1 425
"42" "10" "2" 1 430
"43" "11" "2" 1 450
"44" "12" "2" 1 565
"45" "13" "3" 1 475
"46" "14" "3" 1 530
"47" "15" "3" 1 530
"48" "16" "3" 1 520
"49" "1" "1" 2 260
"50" "2" "1" 2 232
"51" "3" "1" 2 255
"52" "4" "1" 2 265
"53" "5" "1" 2 270
"54" "6" "1" 2 275
"55" "7" "1" 2 270
"56" "8" "1" 2 268
"57" "9" "2" 2 428
"58" "10" "2" 2 440
"59" "11" "2" 2 452
"60" "12" "2" 2 580
"61" "13" "3" 2 485
"62" "14" "3" 2 533
"63" "15" "3" 2 540
"64" "16" "3" 2 515
"65" "1" "1" 2 262
"66" "2" "1" 2 240
"67" "3" "1" 2 262
"68" "4" "1" 2 265
"69" "5" "1" 2 270
"70" "6" "1" 2 275
"71" "7" "1" 2 273
"72" "8" "1" 2 270
"73" "9" "2" 2 438
"74" "10" "2" 2 448
"75" "11" "2" 2 455
"76" "12" "2" 2 590
"77" "13" "3" 2 487
"78" "14" "3" 2 535
"79" "15" "3" 2 543
"80" "16" "3" 2 530
"81" "1" "1" 3 258
"82" "2" "1" 3 240
"83" "3" "1" 3 265
"84" "4" "1" 3 268
"85" "5" "1" 3 273
"86" "6" "1" 3 277
"87" "7" "1" 3 274
"88" "8" "1" 3 265
"89" "9" "2" 3 443
"90" "10" "2" 3 460
"91" "11" "2" 3 455
"92" "12" "2" 3 597
"93" "13" "3" 3 493
"94" "14" "3" 3 540
"95" "15" "3" 3 546
"96" "16" "3" 3 538
"97" "1" "1" 4 266
"98" "2" "1" 4 243
"99" "3" "1" 4 267
"100" "4" "1" 4 270
"101" "5" "1" 4 274
"102" "6" "1" 4 278
"103" "7" "1" 4 276
"104" "8" "1" 4 265
"105" "9" "2" 4 442
"106" "10" "2" 4 458
"107" "11" "2" 4 451
"108" "12" "2" 4 595
"109" "13" "3" 4 493
"110" "14" "3" 4 525
"111" "15" "3" 4 538
"112" "16" "3" 4 535
"113" "1" "1" 4 266
"114" "2" "1" 4 244
"115" "3" "1" 4 267
"116" "4" "1" 4 272
"117" "5" "1" 4 273
"118" "6" "1" 4 278
"119" "7" "1" 4 271
"120" "8" "1" 4 267
"121" "9" "2" 4 446
"122" "10" "2" 4 464
"123" "11" "2" 4 450
"124" "12" "2" 4 595
"125" "13" "3" 4 504
"126" "14" "3" 4 530
"127" "15" "3" 4 544
"128" "16" "3" 4 542
"129" "1" "1" 5 265
"130" "2" "1" 5 238
"131" "3" "1" 5 264
"132" "4" "1" 5 274
"133" "5" "1" 5 276
"134" "6" "1" 5 284
"135" "7" "1" 5 282
"136" "8" "1" 5 273
"137" "9" "2" 5 456
"138" "10" "2" 5 475
"139" "11" "2" 5 462
"140" "12" "2" 5 612
"141" "13" "3" 5 507
"142" "14" "3" 5 543
"143" "15" "3" 5 553
"144" "16" "3" 5 550
"145" "1" "1" 5 272
"146" "2" "1" 5 247
"147" "3" "1" 5 268
"148" "4" "1" 5 273
"149" "5" "1" 5 278
"150" "6" "1" 5 279
"151" "7" "1" 5 281
"152" "8" "1" 5 274
"153" "9" "2" 5 468
"154" "10" "2" 5 484
"155" "11" "2" 5 466
"156" "12" "2" 5 618
"157" "13" "3" 5 518
"158" "14" "3" 5 544
"159" "15" "3" 5 555
"160" "16" "3" 5 553
"161" "1" "1" 6 278
"162" "2" "1" 6 245
"163" "3" "1" 6 269
"164" "4" "1" 6 275
"165" "5" "1" 6 280
"166" "6" "1" 6 281
"167" "7" "1" 6 284
"168" "8" "1" 6 278
"169" "9" "2" 6 478
"170" "10" "2" 6 496
"171" "11" "2" 6 472
"172" "12" "2" 6 628
"173" "13" "3" 6 525
"174" "14" "3" 6 559
"175" "15" "3" 6 548
"176" "16" "3" 6 569
